IP地址,端口,TLS,数据中心,地区,国家代码,国家,城市,网络延迟 (ms),下载速度 (MB)
8.220.241.149,2022,TRUE,ICN,亚太地区,KR,韩国,首尔,43 ms,19.93
114.204.41.241,30003,TRUE,NRT,亚太地区,JP,日本,东京,49 ms,19.42
114.204.40.185,30001,TRUE,ICN,亚太地区,KR,韩国,首尔,49 ms,15.35
3.38.176.64,19071,TRUE,ICN,亚太地区,KR,韩国,首尔,78 ms,13.19
13.125.169.28,20547,TRUE,ICN,亚太地区,KR,韩国,首尔,81 ms,12.99
43.202.45.221,49666,TRUE,ICN,亚太地区,KR,韩国,首尔,80 ms,12.94
54.180.108.160,55442,TRUE,ICN,亚太地区,KR,韩国,首尔,82 ms,12.77
54.180.137.55,50050,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,12.69
3.38.181.156,11235,TRUE,ICN,亚太地区,KR,韩国,首尔,81 ms,12.65
43.203.114.196,32770,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,12.59
3.34.196.196,34567,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,12.58
43.201.59.193,28541,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,12.51
13.125.227.81,49672,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,12.50
54.180.245.21,34599,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,12.48
43.203.226.238,45403,TRUE,ICN,亚太地区,KR,韩国,首尔,80 ms,12.44
52.79.174.108,15897,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,12.42
3.34.198.185,23023,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,12.37
43.200.6.124,49159,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,12.35
3.34.198.185,13720,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,12.35
43.203.102.226,18001,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,12.27
43.203.114.196,30303,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,12.27
52.78.247.14,49167,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,12.23
15.164.238.229,49673,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,12.23
3.36.44.26,27015,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,12.22
13.125.227.81,11441,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,12.20
3.36.127.156,37777,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,12.20
52.79.207.93,11001,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,12.19
52.79.121.250,12999,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,12.19
52.79.121.250,19530,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,12.19
3.36.127.156,11211,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,12.18
54.180.245.21,25565,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,12.18
13.125.227.81,50075,TRUE,ICN,亚太地区,KR,韩国,首尔,95 ms,12.14
43.203.221.104,32769,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,12.12
3.34.196.196,16922,TRUE,ICN,亚太地区,KR,韩国,首尔,82 ms,12.10
3.34.126.26,16010,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,12.10
43.203.226.238,11235,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,12.10
3.36.127.156,16922,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,12.06
43.203.102.226,32412,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,12.06
43.203.102.226,18081,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,12.04
54.180.137.55,55553,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,11.98
43.203.226.238,59337,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.98
3.38.181.156,26470,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,11.96
3.39.117.219,54321,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,11.95
3.34.198.185,28015,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,11.95
43.201.62.108,17988,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.93
54.180.137.55,29015,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,11.93
3.39.117.219,15000,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,11.91
43.203.226.238,49157,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,11.91
43.201.49.137,19530,TRUE,ICN,亚太地区,KR,韩国,首尔,86 ms,11.91
43.202.114.221,13722,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,11.91
3.36.127.156,22222,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,11.91
13.125.169.28,37020,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,11.90
43.200.6.124,25565,TRUE,ICN,亚太地区,KR,韩国,首尔,82 ms,11.89
13.125.224.248,26470,TRUE,ICN,亚太地区,KR,韩国,首尔,83 ms,11.89
