IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
18.133.193.233,2053,80,false,ORD,North America,US,Chicago,167,0.00
18.133.193.233,443,80,false,ORD,North America,US,Chicago,173,0.00
18.133.193.233,2083,80,false,ORD,North America,US,Chicago,161,0.00
34.222.124.69,2082,80,false,ORD,North America,US,Chicago,195,0.00
18.133.193.233,2082,80,false,ORD,North America,US,Chicago,173,0.00
44.243.221.214,2082,80,false,ORD,North America,US,Chicago,203,0.00
52.41.151.167,443,80,false,ORD,North America,US,Chicago,213,0.00
35.92.250.147,80,80,false,ORD,North America,US,Chicago,203,0.00
35.94.43.39,2082,80,false,ORD,North America,US,Chicago,202,0.00
34.222.124.69,443,80,false,ORD,North America,US,Chicago,202,0.00
44.243.221.214,443,80,false,ORD,North America,US,Chicago,204,0.00
54.202.147.178,8443,80,false,ORD,North America,US,Chicago,206,0.00
54.244.61.204,2082,80,false,ORD,North America,US,Chicago,202,0.00
35.86.122.221,8080,80,false,ORD,North America,US,Chicago,201,0.00
35.94.43.39,8443,80,false,ORD,North America,US,Chicago,208,0.00
52.41.151.167,2096,80,false,ORD,North America,US,Chicago,202,0.00
54.244.61.204,8080,80,false,ORD,North America,US,Chicago,210,0.00
34.222.124.69,2083,80,false,ORD,North America,US,Chicago,204,0.00
52.24.206.112,2052,80,false,ORD,North America,US,Chicago,199,0.00
35.94.43.39,443,80,false,ORD,North America,US,Chicago,199,0.00
44.243.221.214,2083,80,false,ORD,North America,US,Chicago,214,0.00
54.244.61.204,2052,80,false,ORD,North America,US,Chicago,205,0.00
34.219.51.192,8880,80,false,ORD,North America,US,Chicago,197,0.00
54.244.61.204,2087,80,false,ORD,North America,US,Chicago,203,0.00
44.243.221.214,8880,80,false,ORD,North America,US,Chicago,201,0.00
35.86.122.221,2095,80,false,ORD,North America,US,Chicago,201,0.00
52.41.151.167,8880,80,false,ORD,North America,US,Chicago,215,0.00
54.202.147.178,2096,80,false,ORD,North America,US,Chicago,200,0.00
52.41.151.167,2087,80,false,ORD,North America,US,Chicago,204,0.00
34.215.25.25,2053,80,false,ORD,North America,US,Chicago,196,0.00
35.85.50.210,2086,80,false,ORD,North America,US,Chicago,200,0.00
54.244.61.204,443,80,false,ORD,North America,US,Chicago,210,0.00
54.244.61.204,2096,80,false,ORD,North America,US,Chicago,204,0.00
54.244.61.204,2095,80,false,ORD,North America,US,Chicago,202,0.00
34.222.124.69,2087,80,false,ORD,North America,US,Chicago,203,0.00
35.94.43.39,80,80,false,ORD,North America,US,Chicago,204,0.00
54.202.147.178,2083,80,false,ORD,North America,US,Chicago,195,0.00
35.85.50.210,2082,80,false,ORD,North America,US,Chicago,196,0.00
52.41.151.167,2095,80,false,ORD,North America,US,Chicago,203,0.00
54.202.147.178,2053,80,false,ORD,North America,US,Chicago,203,0.00
44.243.221.214,8080,80,false,ORD,North America,US,Chicago,211,0.00
54.202.147.178,2052,80,false,ORD,North America,US,Chicago,200,0.00
35.94.43.39,8080,80,false,ORD,North America,US,Chicago,216,0.00
35.94.43.39,2087,80,false,ORD,North America,US,Chicago,204,0.00
54.244.61.204,2086,80,false,ORD,North America,US,Chicago,204,0.00
54.244.61.204,2083,80,false,ORD,North America,US,Chicago,203,0.00
35.165.8.181,2096,80,false,ORD,North America,US,Chicago,199,0.00
35.94.43.39,2095,80,false,ORD,North America,US,Chicago,198,0.00
34.219.51.192,2086,80,false,ORD,North America,US,Chicago,201,0.00
34.222.124.69,2095,80,false,ORD,North America,US,Chicago,202,0.00
34.222.124.69,2052,80,false,ORD,North America,US,Chicago,212,0.00
34.222.124.69,80,80,false,ORD,North America,US,Chicago,201,0.00
34.222.124.69,2086,80,false,ORD,North America,US,Chicago,201,0.00
35.94.43.39,2052,80,false,ORD,North America,US,Chicago,201,0.00
52.41.151.167,2082,80,false,ORD,North America,US,Chicago,199,0.00
34.222.124.69,8443,80,false,ORD,North America,US,Chicago,199,0.00
35.94.43.39,8880,80,false,ORD,North America,US,Chicago,201,0.00
34.219.51.192,2083,80,false,ORD,North America,US,Chicago,199,0.00
54.244.61.204,80,80,false,ORD,North America,US,Chicago,205,0.00
52.24.206.112,8080,80,false,ORD,North America,US,Chicago,196,0.00
34.222.124.69,8880,80,false,ORD,North America,US,Chicago,203,0.00
34.219.51.192,80,80,false,ORD,North America,US,Chicago,200,0.00
35.94.43.39,2086,80,false,ORD,North America,US,Chicago,203,0.00
44.243.221.214,2086,80,false,ORD,North America,US,Chicago,199,0.00
54.244.61.204,8880,80,false,ORD,North America,US,Chicago,203,0.00
34.222.124.69,8080,80,false,ORD,North America,US,Chicago,208,0.00
34.219.51.192,2096,80,false,ORD,North America,US,Chicago,196,0.00
44.243.221.214,2087,80,false,ORD,North America,US,Chicago,195,0.00
44.243.221.214,80,80,false,ORD,North America,US,Chicago,202,0.00
54.202.147.178,8080,80,false,ORD,North America,US,Chicago,199,0.00
34.219.51.192,2052,80,false,ORD,North America,US,Chicago,199,0.00
34.219.51.192,2087,80,false,ORD,North America,US,Chicago,214,0.00
54.202.147.178,443,80,false,ORD,North America,US,Chicago,202,0.00
54.202.147.178,2087,80,false,ORD,North America,US,Chicago,214,0.00
34.219.51.192,8080,80,false,ORD,North America,US,Chicago,204,0.00
54.202.147.178,2095,80,false,ORD,North America,US,Chicago,200,0.00
34.215.25.25,8880,80,false,ORD,North America,US,Chicago,198,0.00
34.219.51.192,443,80,false,ORD,North America,US,Chicago,203,0.00
44.243.221.214,8443,80,false,ORD,North America,US,Chicago,204,0.00
34.219.51.192,2053,80,false,ORD,North America,US,Chicago,199,0.00
44.243.221.214,2095,80,false,ORD,North America,US,Chicago,205,0.00
35.94.43.39,2053,80,false,ORD,North America,US,Chicago,199,0.00
44.243.221.214,2096,80,false,ORD,North America,US,Chicago,195,0.00
34.219.51.192,8443,80,false,ORD,North America,US,Chicago,197,0.00
54.202.147.178,2086,80,false,ORD,North America,US,Chicago,195,0.00
35.92.208.0,80,80,false,ORD,North America,US,Chicago,196,0.00
35.88.241.242,2083,80,false,ORD,North America,US,Chicago,198,0.00
54.202.59.123,80,80,false,ORD,North America,US,Chicago,196,0.00
52.41.151.167,8080,80,false,ORD,North America,US,Chicago,204,0.00
35.88.241.242,443,80,false,ORD,North America,US,Chicago,197,0.00
54.202.59.123,2053,80,false,ORD,North America,US,Chicago,198,0.00
52.41.151.167,2086,80,false,ORD,North America,US,Chicago,214,0.00
52.41.151.167,2053,80,false,ORD,North America,US,Chicago,203,0.00
52.41.151.167,80,80,false,ORD,North America,US,Chicago,216,0.00
52.41.151.167,2083,80,false,ORD,North America,US,Chicago,198,0.00
35.92.250.147,2082,80,false,ORD,North America,US,Chicago,199,0.00
