IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
129.146.242.24,2053,443,true,LAX,North America,Los Angeles,200,4.53
130.162.163.113,443,443,true,FRA,Europe,Frankfurt,266,4.50
138.2.226.15,443,443,true,SJC,North America,San Jose,183,4.46
152.70.155.147,443,443,true,LAX,North America,Los Angeles,227,4.38
141.145.205.115,8443,8443,true,CDG,Europe,Paris,237,4.23
129.146.254.39,443,443,true,LAX,North America,Los Angeles,187,4.23
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,74,4.21
152.67.231.219,443,443,true,SJC,North America,San Jose,188,4.19
192.18.148.248,443,443,true,YYZ,North America,Toronto,232,4.10
129.153.213.8,443,443,true,LAX,North America,Los Angeles,223,4.08
158.180.25.74,443,443,true,FRA,Europe,Frankfurt,327,4.01
89.168.125.127,443,443,true,FRA,Europe,Frankfurt,253,3.97
152.70.148.46,2053,443,true,LAX,North America,Los Angeles,212,3.91
141.144.234.188,443,443,true,FRA,Europe,Frankfurt,343,3.89
193.122.61.167,443,443,true,FRA,Europe,Frankfurt,249,3.83
141.144.253.109,443,443,true,FRA,Europe,Frankfurt,246,3.83
158.180.53.139,2087,2096,true,FRA,Europe,Frankfurt,321,3.81
141.147.20.37,443,443,true,AMS,Europe,Amsterdam,258,3.81
141.147.46.87,443,443,true,FRA,Europe,Frankfurt,250,3.81
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,254,3.81
144.24.240.193,8443,443,true,MXP,Europe,Milan,174,3.81
144.24.243.207,443,443,true,ZRH,Europe,Zurich,229,3.80
141.148.229.106,443,443,true,AMS,Europe,Amsterdam,259,3.78
89.168.52.251,8443,443,true,CDG,Europe,Paris,242,3.77
193.122.54.150,443,443,true,FRA,Europe,Frankfurt,254,3.74
141.147.190.128,443,443,true,NRT,Asia Pacific,Tokyo,69,3.70
141.147.16.184,443,443,true,FRA,Europe,Frankfurt,327,3.69
84.235.173.127,443,443,true,FRA,Europe,Frankfurt,257,3.67
141.148.234.219,443,443,true,FRA,Europe,Frankfurt,330,3.67
140.238.102.114,8443,443,true,LHR,Europe,London,244,3.66
141.148.240.89,443,443,true,FRA,Europe,Frankfurt,268,3.66
158.101.202.118,443,443,true,FRA,Europe,Frankfurt,256,3.66
152.70.51.93,443,443,true,FRA,Europe,Frankfurt,332,3.64
141.144.198.162,443,443,true,FRA,Europe,Frankfurt,254,3.64
158.180.38.36,443,443,true,FRA,Europe,Frankfurt,321,3.64
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,348,3.60
141.144.195.40,443,443,true,FRA,Europe,Frankfurt,256,3.59
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,261,3.59
141.144.201.16,443,443,true,FRA,Europe,Frankfurt,330,3.57
140.238.102.114,8443,443,true,LHR,Europe,London,320,3.55
130.162.182.16,443,443,true,FRA,Europe,Frankfurt,256,3.55
152.67.134.216,443,443,true,FRA,Europe,Frankfurt,269,3.54
150.230.22.244,443,443,true,FRA,Europe,Frankfurt,261,3.54
158.101.201.29,443,443,true,FRA,Europe,Frankfurt,337,3.54
130.162.229.42,2053,443,true,FRA,Europe,Frankfurt,328,3.54
140.238.102.114,8443,443,true,LHR,Europe,London,263,3.53
64.110.80.201,2053,443,true,ICN,Asia Pacific,Seoul,141,3.52
193.123.56.79,443,443,true,FRA,Europe,Frankfurt,334,3.52
158.101.215.201,443,443,true,FRA,Europe,Frankfurt,289,3.52
84.8.155.254,443,443,true,FRA,Europe,Frankfurt,340,3.52
129.151.205.193,443,443,true,ARN,Europe,Stockholm,295,3.51
141.148.240.120,443,443,true,FRA,Europe,Frankfurt,290,3.51
143.47.189.76,443,443,true,FRA,Europe,Frankfurt,259,3.49
150.230.126.201,443,443,true,FRA,Europe,Frankfurt,337,3.49
141.147.61.114,443,443,true,FRA,Europe,Frankfurt,333,3.49
89.168.85.244,443,443,true,FRA,Europe,Frankfurt,261,3.48
130.162.178.11,443,443,true,FRA,Europe,Frankfurt,339,3.48
89.168.120.144,443,443,true,FRA,Europe,Frankfurt,299,3.47
84.235.161.3,443,443,true,FRA,Europe,Frankfurt,340,3.45
